City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,2020-03-13 04:00:00,39.4,93.41,6.26,17.29,13.11,,6.26,15.66,,2.85,46.56,1.13,347.0,Very Poor
Ahmedabad,2020-04-16 02:00:00,47.37,107.87,4.16,39.92,22.59,,0.34,,20.61,12.57,106.79,8.69,68.0,Satisfactory
Ahmedabad,2020-04-20 15:00:00,28.3,72.27,2.02,14.28,8.47,,0.21,12.79,90.34,0.82,6.64,0.43,91.0,Satisfactory
Ahmedabad,2020-05-04 14:00:00,17.34,62.15,3.66,10.53,7.88,,0.42,34.37,153.07,0.9,9.08,0.44,178.0,Moderate
Ahmedabad,2020-06-18 11:00:00,,,7.38,50.88,8.05,,0.19,,64.8,3.3,46.52,2.82,,
Aizawl,2020-03-12 03:00:00,33.0,36.0,7.05,0.05,9.25,20.19,0.58,3.44,,0.03,0.19,,53.0,Satisfactory
Aizawl,2020-03-19 17:00:00,37.0,45.53,2.92,5.21,8.47,29.38,0.4,6.87,36.41,0.23,0.84,,69.0,Satisfactory
Aizawl,2020-03-22 19:00:00,25.37,35.91,3.02,0.09,3.64,20.32,0.29,5.67,5.05,,,,64.0,Satisfactory
Aizawl,2020-03-22 21:00:00,31.16,35.0,3.0,0.08,3.59,17.2,0.31,5.39,3.42,,,,58.0,Satisfactory
Aizawl,2020-03-23 09:00:00,38.0,45.7,3.23,0.06,3.81,19.27,0.33,5.33,3.67,,,,52.0,Satisfactory
Aizawl,2020-03-30 04:00:00,56.39,61.25,2.94,0.09,3.47,22.4,0.47,6.72,5.64,0.23,0.92,,62.0,Satisfactory
Aizawl,2020-03-31 11:00:00,16.53,23.33,2.82,0.2,3.71,35.16,0.31,7.67,9.24,0.15,0.72,,49.0,Good
Aizawl,2020-04-01 14:00:00,18.0,26.0,3.18,0.04,3.89,35.17,0.34,8.53,8.04,0.17,0.7,,67.0,Satisfactory
Aizawl,2020-04-02 08:00:00,45.7,61.0,2.99,0.17,3.86,26.67,0.44,7.57,5.83,,,,63.0,Satisfactory
Aizawl,2020-04-02 12:00:00,26.25,38.0,3.03,0.17,3.92,37.78,0.37,8.94,9.95,0.19,0.62,,65.0,Satisfactory
Aizawl,2020-04-02 15:00:00,22.36,41.0,2.96,0.37,4.14,40.82,0.32,9.62,15.15,0.15,0.55,,67.0,Satisfactory
Aizawl,2020-04-03 07:00:00,36.81,48.44,2.79,0.15,3.48,17.42,0.29,7.25,8.92,0.08,0.39,,54.0,Satisfactory
Aizawl,2020-04-04 10:00:00,28.2,,3.04,0.08,3.65,20.57,0.29,7.42,7.88,0.08,0.5,,41.0,Good
Aizawl,2020-04-06 06:00:00,39.11,44.0,2.89,0.16,3.5,16.75,0.29,7.81,8.7,0.11,0.45,,43.0,Good
Aizawl,2020-04-10 14:00:00,20.62,30.0,4.38,0.11,5.7,32.25,0.33,5.27,7.31,0.13,0.58,,61.0,Satisfactory
Aizawl,2020-04-10 23:00:00,33.05,42.5,4.5,0.11,5.49,28.89,0.42,4.32,4.54,0.17,0.85,,63.0,Satisfactory
Aizawl,2020-04-12 20:00:00,32.08,39.86,4.37,0.07,5.6,28.3,0.32,4.87,6.71,0.11,0.56,,36.0,Good
Aizawl,2020-04-15 16:00:00,34.12,42.85,11.52,1.53,16.81,39.59,0.42,7.57,1.38,0.17,0.65,,77.0,Satisfactory
Aizawl,2020-04-19 11:00:00,8.47,15.0,11.45,0.14,15.32,18.31,0.23,6.27,,0.04,0.39,,23.0,Good
Aizawl,2020-04-19 19:00:00,,,11.39,0.19,15.27,25.23,0.26,6.88,1.04,0.05,0.49,,19.0,Good
Aizawl,2020-04-20 20:00:00,,24.0,11.39,0.15,15.28,19.81,0.29,7.13,,0.05,0.56,,32.0,Good
Aizawl,2020-04-20 23:00:00,,23.0,11.47,0.16,15.19,16.73,0.27,6.35,,,,,20.0,Good
Aizawl,2020-04-25 11:00:00,3.08,6.78,11.59,0.33,15.72,20.67,0.22,8.08,,0.02,0.37,,19.0,Good
Aizawl,2020-04-25 23:00:00,,,11.47,0.1,15.0,11.43,0.17,7.15,0.03,0.01,0.28,,18.0,Good
Aizawl,2020-04-29 09:00:00,4.08,5.83,11.62,0.12,15.39,13.77,0.21,6.66,,0.01,0.36,,19.0,Good
Aizawl,2020-04-29 20:00:00,5.03,6.8,11.53,0.09,15.13,16.85,0.25,7.62,,,,,19.0,Good
Aizawl,2020-05-05 00:00:00,12.08,13.61,11.59,0.04,15.16,13.21,0.21,6.95,,0.03,0.41,,19.0,Good
Aizawl,2020-05-06 00:00:00,5.05,11.67,11.61,0.09,15.37,16.54,0.21,7.31,0.25,0.04,0.49,,20.0,Good
Aizawl,2020-05-07 06:00:00,0.91,3.77,11.42,0.11,15.2,15.64,0.19,7.16,0.16,,,,21.0,Good
Aizawl,2020-05-09 03:00:00,10.25,13.61,11.41,0.14,15.03,19.66,0.34,7.98,,0.06,0.85,,23.0,Good
Aizawl,2020-05-09 10:00:00,12.08,15.11,11.45,0.19,15.45,23.34,0.34,7.96,,0.09,0.73,,23.0,Good
Aizawl,2020-05-13 03:00:00,37.0,41.0,11.42,0.08,15.17,22.2,0.34,8.46,0.75,0.11,0.61,,49.0,Good
Aizawl,2020-05-15 18:00:00,17.0,18.0,11.58,0.45,15.98,29.13,0.4,9.83,,0.11,1.25,,28.0,Good
Aizawl,2020-05-16 05:00:00,5.0,9.78,11.45,0.1,15.14,16.53,0.18,8.27,,0.0,0.39,,21.0,Good
Aizawl,2020-05-17 18:00:00,13.66,19.53,11.43,0.08,15.11,33.76,0.24,11.71,,,,,20.0,Good
Aizawl,2020-05-18 06:00:00,15.97,18.88,11.53,0.06,15.28,23.09,0.23,8.95,,,,,22.0,Good
Aizawl,2020-05-23 06:00:00,,,11.51,0.2,15.29,10.04,0.18,10.24,0.26,,,,20.0,Good
Aizawl,2020-05-27 21:00:00,1.97,4.0,11.64,0.21,15.58,17.36,0.23,11.48,,0.0,0.24,,,
Aizawl,2020-05-30 10:00:00,9.49,10.65,11.91,0.24,15.94,15.06,0.25,11.54,,0.0,0.41,,20.0,Good
Aizawl,2020-06-02 17:00:00,2.76,7.0,11.93,0.41,16.25,14.48,0.32,12.55,,,,,20.0,Good
Aizawl,2020-06-04 09:00:00,,,11.51,0.08,15.22,12.84,0.16,12.08,,,,,20.0,Good
Aizawl,2020-06-06 16:00:00,1.88,5.0,11.77,0.22,15.91,22.92,0.29,13.39,,,,,19.0,Good
Aizawl,2020-06-14 20:00:00,1.0,4.84,11.59,0.06,15.22,28.93,0.17,9.98,3.79,,,,19.0,Good
Aizawl,2020-06-15 08:00:00,,,11.76,0.04,15.36,19.64,0.15,8.68,3.88,,,,19.0,Good
Aizawl,2020-06-16 11:00:00,0.12,18.0,13.14,0.7,18.22,28.85,0.24,7.89,4.3,163.84,163.86,,19.0,Good
Aizawl,2020-06-16 17:00:00,0.88,6.78,11.94,0.11,15.88,20.47,0.2,9.13,3.86,0.06,0.32,,20.0,Good
Aizawl,2020-06-21 15:00:00,,6.8,11.57,0.03,15.28,29.79,0.16,3.16,,,,,19.0,Good
Aizawl,2020-06-25 18:00:00,4.81,22.56,11.45,0.28,15.65,24.62,0.07,1.55,2.06,,,,33.0,Good
Aizawl,2020-06-26 23:00:00,0.18,4.66,11.46,0.08,14.96,21.15,0.01,0.89,1.14,,,,20.0,Good
Aizawl,2020-06-28 15:00:00,0.12,0.06,10.9,0.01,14.26,23.6,0.01,1.38,3.55,,,,19.0,Good
Amaravati,2017-11-28 23:00:00,73.75,104.0,1.55,28.57,16.48,15.2,0.0,9.7,96.55,0.28,6.9,0.1,,
Amaravati,2017-12-10 05:00:00,61.75,96.0,2.12,44.1,25.15,11.65,0.05,14.57,28.9,0.2,5.35,0.1,127.0,Moderate
Amaravati,2017-12-13 15:00:00,59.5,89.0,2.05,18.35,11.4,13.05,0.1,6.98,125.9,0.2,5.3,0.05,138.0,Moderate
Amaravati,2017-12-17 14:00:00,67.0,106.5,0.65,12.4,7.12,20.43,0.1,24.97,141.6,0.1,2.7,0.0,235.0,Poor
Amaravati,2018-01-08 07:00:00,99.25,134.5,1.82,28.2,16.5,24.35,0.08,7.93,63.7,0.4,6.95,0.2,165.0,Moderate
Amaravati,2018-01-15 20:00:00,67.0,118.25,0.18,27.33,14.67,18.32,0.08,8.6,63.2,0.15,7.2,0.05,153.0,Moderate
Amaravati,2018-02-03 07:00:00,56.0,181.75,2.93,42.7,25.12,31.55,0.0,3.82,5.88,0.1,5.38,0.1,112.0,Moderate
Amaravati,2018-02-13 05:00:00,64.0,94.25,0.5,14.22,8.0,10.12,0.76,4.65,16.65,0.1,3.18,0.1,98.0,Satisfactory
Amaravati,2018-02-28 22:00:00,30.75,78.0,4.02,15.03,11.25,22.65,0.93,7.9,21.55,0.03,1.15,,111.0,Moderate
Amaravati,2018-04-08 20:00:00,20.5,62.75,1.7,9.18,6.25,8.85,0.42,9.65,25.0,0.0,1.08,,77.0,Satisfactory
Amaravati,2018-04-09 06:00:00,21.75,42.75,2.62,12.12,8.6,8.23,0.51,6.1,11.3,0.0,1.1,,66.0,Satisfactory
Amaravati,2018-04-19 20:00:00,,,,,,,,,,,,,,
Amaravati,2018-05-04 02:00:00,27.0,36.0,2.75,40.28,23.68,13.42,0.81,7.45,4.9,,,,48.0,Good
Amaravati,2018-05-29 06:00:00,12.75,65.5,5.5,20.3,15.25,8.42,0.43,8.25,25.5,0.38,0.15,,77.0,Satisfactory
Amaravati,2018-06-14 03:00:00,19.75,55.75,1.65,12.55,8.03,10.15,0.34,7.05,27.45,,,,72.0,Satisfactory
Amaravati,2018-07-06 05:00:00,14.75,27.75,1.95,20.47,12.5,14.5,0.24,7.65,13.72,0.3,0.2,,55.0,Satisfactory
Amaravati,2018-07-13 22:00:00,10.75,36.25,1.28,6.2,4.35,12.2,,7.1,31.4,0.2,0.1,,34.0,Good
Amaravati,2018-07-21 16:00:00,13.5,49.0,3.28,9.15,7.57,14.8,0.5,7.75,51.48,0.13,0.2,0.3,131.0,Moderate
Amaravati,2018-08-01 00:00:00,25.0,102.0,2.3,23.43,14.3,16.92,0.38,14.4,23.02,0.15,0.13,,106.0,Moderate
Amaravati,2018-08-01 17:00:00,25.75,105.5,3.8,10.25,8.55,19.93,0.38,4.42,49.0,0.1,0.03,,105.0,Moderate
Amaravati,2018-09-05 12:00:00,9.5,38.5,3.8,11.2,9.1,25.8,0.75,20.1,41.17,0.08,0.03,,105.0,Moderate
Amaravati,2018-09-20 09:00:00,37.5,71.75,6.9,26.08,19.45,17.53,1.21,11.25,18.15,0.1,0.5,,60.0,Satisfactory
Amaravati,2018-09-22 15:00:00,16.75,47.5,2.6,9.83,7.33,12.85,0.5,19.38,58.8,0.0,0.0,,,
Amaravati,2018-11-06 06:00:00,26.75,52.5,29.15,39.25,44.6,2.85,0.97,10.12,9.8,0.0,0.15,,76.0,Satisfactory
Amaravati,2018-11-25 02:00:00,,,,,,,,,,,,,,
Amaravati,2019-01-05 21:00:00,133.0,231.0,7.12,119.5,69.37,8.5,1.96,17.55,22.08,0.1,0.3,0.1,305.0,Very Poor
Amaravati,2019-01-07 08:00:00,122.25,160.0,16.1,84.38,57.95,15.6,2.43,13.58,8.83,0.15,0.28,,304.0,Very Poor
Amaravati,2019-01-12 18:00:00,78.5,125.25,3.35,50.02,29.35,18.2,0.28,12.03,28.42,0.0,0.0,,241.0,Poor
Amaravati,2019-01-27 03:00:00,10.5,24.5,1.43,17.07,10.25,24.2,0.71,8.0,18.6,0.0,0.0,,56.0,Satisfactory
Amaravati,2019-02-13 22:00:00,84.75,140.25,3.1,37.05,22.23,11.0,0.84,6.8,32.35,0.0,0.0,,133.0,Moderate
Amaravati,2019-02-14 19:00:00,54.5,168.25,3.02,37.75,22.52,12.15,0.53,12.35,43.6,0.0,0.0,,146.0,Moderate
Amaravati,2019-03-13 16:00:00,29.5,100.0,1.55,12.85,8.12,11.93,0.27,12.57,60.77,0.7,4.9,0.1,98.0,Satisfactory
Amaravati,2019-06-12 14:00:00,0.25,23.25,10.3,49.23,34.52,1.95,0.4,21.0,32.0,0.18,3.12,0.15,46.0,Good
Amaravati,2019-07-11 12:00:00,5.25,19.5,4.45,26.9,17.9,1.95,0.19,18.32,28.4,0.1,2.1,0.1,29.0,Good
Amaravati,2019-07-24 11:00:00,7.5,18.0,5.65,16.25,13.25,2.2,0.45,10.85,25.8,0.3,1.05,0.1,,
Amaravati,2019-08-16 20:00:00,18.0,31.0,3.7,15.88,11.45,10.57,0.54,13.85,30.62,0.25,2.65,0.33,53.0,Satisfactory
Amaravati,2019-09-23 11:00:00,,,,,,,,,,,,,,
Amaravati,2019-10-23 00:00:00,10.5,19.75,2.2,6.47,5.22,7.78,0.56,7.75,17.3,0.03,1.23,0.1,52.0,Satisfactory
Amaravati,2019-10-23 02:00:00,11.75,31.0,2.35,10.45,7.5,8.25,0.55,11.53,15.97,0.08,1.47,0.1,52.0,Satisfactory
Amaravati,2019-11-12 11:00:00,27.5,49.5,3.1,12.62,9.25,11.25,0.49,3.4,49.23,0.22,0.92,0.1,72.0,Satisfactory
Amaravati,2019-11-17 07:00:00,98.75,134.25,2.42,14.27,9.57,11.47,0.94,5.92,14.75,0.28,20.52,0.1,131.0,Moderate
Amaravati,2020-01-05 18:00:00,27.5,48.5,1.35,13.85,8.43,21.55,0.65,16.35,51.35,0.47,1.83,0.1,60.0,Satisfactory
Amaravati,2020-03-05 22:00:00,16.0,26.0,1.55,5.55,4.2,9.8,0.52,33.0,22.9,0.2,0.4,,41.0,Good
Amaravati,2020-03-25 18:00:00,17.0,45.0,1.57,2.73,2.72,6.92,0.0,20.43,43.75,0.1,0.05,,183.0,Moderate
Amaravati,2020-04-06 00:00:00,25.25,44.0,1.65,3.42,3.17,7.62,,21.62,14.25,0.0,0.12,,47.0,Good
Amaravati,2020-04-07 21:00:00,20.25,38.5,0.9,4.2,2.97,6.15,,23.77,17.05,0.0,0.23,,28.0,Good
Amaravati,2020-05-02 12:00:00,16.25,53.25,0.9,3.1,2.4,11.45,,7.78,44.92,0.0,0.23,,62.0,Satisfactory
Amaravati,2020-06-06 18:00:00,10.5,44.75,1.15,4.98,3.55,3.1,0.39,15.8,43.9,0.0,0.2,,47.0,Good
Amaravati,2020-06-10 20:00:00,25.0,46.0,1.68,15.55,9.62,9.6,0.67,2.2,52.8,0.12,2.3,0.17,82.0,Satisfactory
Amaravati,2020-06-18 07:00:00,5.5,15.25,2.88,15.45,10.53,8.43,0.63,15.5,17.48,0.1,0.7,,38.0,Good
Amritsar,2017-05-05 03:00:00,,93.24,14.97,16.23,,30.7,0.0,11.88,15.31,,,,96.0,Satisfactory
Amritsar,2017-05-20 06:00:00,22.8,,12.95,14.69,,28.02,0.0,2.62,13.36,5.65,,,131.0,Moderate
Amritsar,2017-06-01 12:00:00,34.52,54.71,14.72,15.32,,28.36,0.0,6.33,4.93,5.0,,,,
Amritsar,2017-08-04 14:00:00,,,,,,,,,,,,,,
Amritsar,2017-09-02 20:00:00,23.29,58.37,10.08,18.3,,11.75,1.01,0.96,7.04,1.76,1.36,11.54,67.0,Satisfactory
Amritsar,2017-09-24 06:00:00,15.69,48.1,8.17,14.78,,17.49,0.71,4.82,10.34,1.06,7.35,22.33,103.0,Moderate
Amritsar,2017-10-23 04:00:00,200.5,276.95,12.07,29.85,41.92,35.82,1.27,4.19,10.88,3.35,7.45,27.28,368.0,Very Poor
Amritsar,2017-10-26 04:00:00,212.64,306.43,16.83,44.0,60.83,75.53,1.31,1.31,6.37,2.42,11.63,24.84,315.0,Very Poor
Amritsar,2017-10-27 08:00:00,157.15,312.14,15.49,44.55,60.04,96.43,0.86,12.97,5.32,3.56,11.28,25.28,296.0,Poor
Amritsar,2017-11-25 15:00:00,77.93,164.62,41.04,48.92,89.96,15.44,0.82,12.06,26.51,4.37,8.36,14.46,325.0,Very Poor
Amritsar,2017-11-26 18:00:00,49.49,144.91,46.85,39.67,86.52,14.79,1.57,13.18,35.49,4.76,8.62,15.63,315.0,Very Poor
Amritsar,2017-12-13 09:00:00,38.3,98.88,28.48,18.47,46.95,0.96,2.69,3.8,14.89,2.5,5.2,11.01,112.0,Moderate
Amritsar,2017-12-22 22:00:00,83.2,174.77,5.7,26.06,31.75,3.37,2.56,2.94,18.94,2.0,8.88,12.33,118.0,Moderate
Amritsar,2018-01-25 18:00:00,32.46,75.1,3.88,76.5,80.38,13.62,1.23,2.82,17.71,4.32,6.97,5.42,117.0,Moderate
Amritsar,2018-06-03 21:00:00,147.33,299.02,0.43,8.2,8.58,1.51,0.94,5.66,21.99,0.66,2.6,5.85,164.0,Moderate
Amritsar,2018-06-08 18:00:00,38.9,140.3,,,,,,5.33,43.8,0.56,2.6,6.17,147.0,Moderate
Amritsar,2018-06-12 16:00:00,,,,,,,,,,,,,,
Amritsar,2018-08-31 16:00:00,,,,9.98,,,0.0,,,0.0,,,,
Amritsar,2018-08-31 17:00:00,,74.48,11.54,,5.45,6.47,0.0,6.48,34.55,1.29,1.18,0.52,,
Amritsar,2018-09-22 04:00:00,,42.51,14.95,11.08,26.02,9.71,0.0,2.33,21.96,4.06,5.86,9.9,65.0,Satisfactory
Amritsar,2018-09-24 08:00:00,,15.45,11.22,0.69,11.91,6.82,0.0,,23.22,3.79,5.64,8.64,24.0,Good
Amritsar,2018-09-26 14:00:00,,,,,,,,,,,,,65.0,Satisfactory
Amritsar,2018-10-20 21:00:00,,107.9,20.04,24.95,45.99,19.21,0.0,5.83,7.33,17.8,1.88,11.95,82.0,Satisfactory
Amritsar,2018-10-29 16:00:00,54.95,156.86,19.77,20.12,40.63,13.04,0.0,4.9,56.36,9.4,1.33,5.62,144.0,Moderate
Amritsar,2018-10-31 22:00:00,57.06,163.03,24.87,21.43,46.3,13.21,0.0,7.08,7.75,17.34,3.43,13.84,132.0,Moderate
Amritsar,2018-12-21 04:00:00,42.04,93.31,26.23,32.51,56.74,7.99,0.0,,16.74,5.33,1.51,6.84,108.0,Moderate
Amritsar,2019-01-13 18:00:00,,,,,,,,,,,,,83.0,Satisfactory
Amritsar,2019-02-27 10:00:00,41.25,92.55,14.44,16.27,30.7,9.96,0.0,,12.28,3.62,7.21,3.56,69.0,Satisfactory
Amritsar,2019-03-10 14:00:00,55.19,93.14,11.05,9.54,20.6,12.25,0.17,,65.4,2.02,2.11,3.51,113.0,Moderate
Amritsar,2019-04-07 01:00:00,29.26,100.81,11.57,24.03,35.47,10.62,0.51,,4.08,3.85,2.15,9.63,188.0,Moderate
Amritsar,2019-04-11 13:00:00,59.11,72.66,13.67,19.16,32.83,8.54,0.58,,43.72,2.9,2.14,5.67,95.0,Satisfactory
Amritsar,2019-04-22 23:00:00,62.98,140.5,17.25,15.45,32.7,12.44,0.99,,21.36,6.3,2.36,15.73,166.0,Moderate
Amritsar,2019-05-26 15:00:00,21.33,47.84,13.85,8.54,22.24,7.91,0.72,0.22,46.22,2.89,2.14,6.39,74.0,Satisfactory
Amritsar,2019-05-29 23:00:00,61.79,167.07,22.55,11.06,28.59,15.07,2.28,16.3,9.44,17.17,3.56,,141.0,Moderate
Amritsar,2019-06-24 00:00:00,12.01,87.02,8.43,9.14,7.5,41.51,0.31,24.31,13.68,5.45,1.11,6.21,106.0,Moderate
Amritsar,2019-08-10 19:00:00,24.34,49.58,9.25,9.47,18.72,9.96,0.61,5.3,22.42,3.11,1.12,2.0,46.0,Good
Amritsar,2019-08-27 14:00:00,39.39,64.4,14.39,9.22,23.08,11.2,0.28,4.96,35.88,2.26,1.12,2.0,62.0,Satisfactory
Amritsar,2019-09-07 07:00:00,46.53,67.43,13.34,8.8,22.14,11.07,0.87,6.33,6.62,1.94,1.11,2.0,64.0,Satisfactory
Amritsar,2019-09-22 19:00:00,65.11,96.69,13.26,10.13,22.18,10.39,0.31,,37.81,2.06,1.11,2.0,77.0,Satisfactory
Amritsar,2019-10-02 00:00:00,30.87,80.17,12.75,9.77,22.53,9.29,0.68,37.58,6.92,2.07,1.12,2.0,70.0,Satisfactory
Amritsar,2019-10-14 00:00:00,117.07,183.26,10.8,10.81,20.61,30.77,0.54,6.22,,6.34,1.35,2.0,201.0,Poor
Amritsar,2019-10-17 07:00:00,45.4,68.47,11.75,10.89,21.64,30.3,0.47,8.24,,2.76,5.18,2.0,89.0,Satisfactory
Amritsar,2019-11-18 18:00:00,79.28,146.29,17.34,10.15,27.49,13.05,0.51,10.22,26.14,1.84,1.99,2.0,204.0,Poor
Amritsar,2020-01-25 06:00:00,57.48,89.09,9.66,10.15,19.5,11.7,0.72,8.08,56.55,2.35,2.25,2.0,82.0,Satisfactory
Amritsar,2020-03-07 03:00:00,9.47,48.4,16.6,13.67,25.96,13.79,0.78,7.83,32.52,1.37,1.6,2.0,59.0,Satisfactory
Amritsar,2020-03-07 22:00:00,18.66,62.92,19.63,10.56,28.91,12.72,0.89,7.29,25.55,1.48,1.72,2.0,60.0,Satisfactory
Amritsar,2020-04-29 04:00:00,19.27,58.96,24.95,15.87,33.77,11.67,0.76,7.63,43.57,1.3,1.1,8.82,58.0,Satisfactory
Amritsar,2020-05-24 09:00:00,50.32,71.98,14.58,10.51,23.71,12.36,0.4,5.19,17.0,1.3,1.1,8.82,74.0,Satisfactory
Amritsar,2020-05-24 23:00:00,6.44,99.64,21.6,11.97,32.58,11.11,0.38,2.92,17.0,1.3,1.1,8.82,70.0,Satisfactory
Amritsar,2020-06-04 03:00:00,27.19,,16.81,11.86,26.95,12.49,0.7,26.46,22.67,1.3,1.1,8.82,309.0,Very Poor
Bengaluru,2015-01-10 11:00:00,,,,,,,0.0,,,,,,,
Bengaluru,2015-03-02 17:00:00,,,3.86,9.82,12.92,29.75,3.7,0.41,101.08,,3.7,,,
Bengaluru,2015-05-03 13:00:00,18.19,,2.64,7.74,4.57,12.97,,10.2,13.68,40.55,14.14,,50.0,Good
Bengaluru,2015-07-04 08:00:00,16.85,,0.47,1.42,0.46,5.76,,1.86,,,,,36.0,Good
Bengaluru,2015-07-23 07:00:00,13.05,,3.26,6.99,5.94,7.23,4.0,0.26,3.6,,1.11,,244.0,Poor
Bengaluru,2015-07-26 23:00:00,52.12,,2.47,7.4,5.61,6.81,,2.38,5.68,26.37,3.66,,92.0,Satisfactory
Bengaluru,2015-09-24 06:00:00,15.34,,3.38,19.17,14.11,25.73,2.09,2.21,4.97,,2.09,,67.0,Satisfactory
Bengaluru,2015-10-16 10:00:00,56.17,,3.78,37.54,22.26,36.31,1.2,3.74,15.47,,1.2,,133.0,Moderate
